name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Swamp Thing,Steel,Suspended,,,,0.0,Vekoma,Wild Adventures,status.operating,30.7193266,-83.32245470000001
Hangman,Steel,Inverted,80.0,33.0,698.0,5.0,Vekoma,Wild Adventures,status.operating,30.7193266,-83.32245470000001
Gold Rush,Steel,Sit Down,,,,0.0,Chance Rides,Wild Adventures,status.closed.definitely,30.7193266,-83.32245470000001
Fiesta Express,Steel,Sit Down,,,,0.0,Zamperla,Wild Adventures,status.operating,30.7193266,-83.32245470000001
Cheetah,Steel,Sit Down,84.0,28.0,817.0,0.0,CCI,Wild Adventures,status.operating,30.7193266,-83.32245470000001
Bug Out,Steel,Sit Down,45.0,15.0,370.0,0.0,Maurer,Wild Adventures,status.operating,30.7193266,-83.32245470000001
Boomerang,Steel,Sit Down,76.0,36.0,285.0,3.0,Vekoma,Wild Adventures,status.operating,30.7193266,-83.32245470000001
Ant Farm Express,Steel,Sit Down,35.0,9.0,207.0,0.0,Vekoma,Wild Adventures,status.operating,30.7193266,-83.32245470000001
Toos Express,Steel,Sit Down,60.0,12.0,320.0,0.0,Vekoma,Toverland,status.operating,51.39688349999999,5.9847667
Booster Bike,Steel,Motorbike,75.0,15.0,600.0,0.0,Vekoma,Toverland,status.operating,51.39688349999999,5.9847667
Troy,Wooden,Sit Down,87.0,32.0,1077.0,0.0,GCI,Toverland,status.operating,51.39688349999999,5.9847667
Wilde Maus,Steel,Sit Down,45.0,14.0,370.0,0.0,Mack,Toverland,status.closed.definitely,51.39688349999999,5.9847667
Fenix,Steel,Wing,95.0,40.0,813.0,3.0,B&M,Toverland,status.operating,51.39688349999999,5.9847667
Maximus' Blitz Bahn,Steel,Sit Down,,,,0.0,Wiegand,Toverland,status.operating,51.39688349999999,5.9847667
