name,material_type,seating_type,speed,height,length,num_inversions,manufacturer,park,status,lat,lng
Alpine Coaster,na,Alpine,,,1200.0,,Wiegand,Vinpearl Land Nha Trang,status.operating,12.2116596,109.2365888
Mine Adventure,na,Sit Down,,,,,Vekoma,Vinpearl Land Nha Trang,status.operating,12.2116596,109.2365888
Montanha Russa,Steel,Sit Down,,,,0.0,Vekoma,Fantasy Place,status.closed.definitely,53.3429166,-6.2416143
Dum-Dum,Steel,Sit Down,,,,0.0,Beto Carrero World,Beto Carrero World,status.operating,-26.8016892,-48.6175478
Tigor Mountain,Steel,Sit Down,,,,0.0,Vekoma,Beto Carrero World,status.operating,-26.8016892,-48.6175478
Star Mountain,Steel,Sit Down,64.0,23.0,732.0,2.0,Vekoma,Beto Carrero World,status.operating,-26.8016892,-48.6175478
Firewhip,na,Inverted,80.0,33.0,689.0,5.0,Vekoma,Beto Carrero World,status.operating,-26.8016892,-48.6175478
Hexenbesen,Steel,Suspended,,,,0.0,na,Rodelparadies Wasserkuppe,status.operating,50.5002887,9.9419024
Hot Tamales,Steel,Sit Down,23.0,4.0,60.0,0.0,L&T Systems,Casino Pier,status.operating,39.9427697,-74.07070499999999
Star Jet,Steel,Sit Down,,16.0,,0.0,Miler Coaster,Casino Pier,status.closed.definitely,39.9427697,-74.07070499999999
Wild Mouse,Steel,Sit Down,,,,0.0,E&F Miler Industries,Casino Pier,status.closed.definitely,39.9427697,-74.07070499999999
Pirates Hideaway,Steel,Sit Down,,,,0.0,Wisdom Rides ,Casino Pier,status.operating,39.9427697,-74.07070499999999
Hydrus,na,Sit Down,73.0,22.0,320.0,3.0,Gerstlauer,Casino Pier,status.operating,39.9427697,-74.07070499999999
Achterbahn,Steel,Sit Down,,,,0.0,SBF,Trampoline,status.closed.definitely,53.3353729,-6.2657573
Avatar Airbender,Steel,Sit Down,,,,0.0,Intamin,Nickelodeon Universe,status.operating,44.8547397,-93.2420255
Barnyard Barnstormer,Steel,Sit Down,,,,0.0,Zamperla,Nickelodeon Universe,status.operating,44.8547397,-93.2420255
Fairly Odd Coaster,Steel,Spinning,50.0,17.0,410.0,0.0,Gerstlauer,Nickelodeon Universe,status.operating,44.8547397,-93.2420255
Orange Streak,Steel,Sit Down,48.0,18.0,817.0,0.0,Zierer,Nickelodeon Universe,status.operating,44.8547397,-93.2420255
SpongeBob SquarePants Rock Bottom Plunge,Steel,Sit Down,,20.0,410.0,2.0,Gerstlauer,Nickelodeon Universe,status.operating,44.8547397,-93.2420255
Dangai,Steel,Stand Up,80.0,30.0,800.0,1.0,Togo,Thrill Valley,status.closed.definitely,12.5988157,78.6418721
Gambit,Steel,Inverted,81.0,32.0,821.0,5.0,B&M,Thrill Valley,status.closed.definitely,12.5988157,78.6418721
Kiddy Shuttle,Steel,Sit Down,,,,0.0,Togo,Thrill Valley,status.closed.definitely,12.5988157,78.6418721
Mad Classic,Steel,Sit Down,,,,0.0,na,Thrill Valley,status.closed.definitely,12.5988157,78.6418721
SL Coaster,Steel,Sit Down,,,,0.0,na,Thrill Valley,status.closed.definitely,12.5988157,78.6418721
Speedy Gonzales,Steel,Sit Down,34.0,6.0,135.0,0.0,L&T Systems,Parc du Bocasse,status.operating,49.6014339,1.0788364
Train de Mine,Steel,Sit Down,,,,0.0,Soquet,Parc du Bocasse,status.operating,49.6014339,1.0788364
Bocasse Express,Steel,Sit Down,,,,0.0,Soquet,Parc du Bocasse,status.closed.definitely,49.6014339,1.0788364
Jurassic Twister,Steel,Spinning,47.0,13.0,420.0,0.0,Zamperla,Parc du Bocasse,status.operating,49.6014339,1.0788364
Dragon des Sortilèges (le),Steel,Sit Down,,,,0.0,Mack,Mirapolis,status.closed.definitely,49.0540617,2.0025555
Miralooping,Steel,Sit Down,65.0,30.0,,4.0,Vekoma,Mirapolis,status.closed.definitely,49.0540617,2.0025555
Grand Huit,Steel,Sit Down,,,,0.0,S.D.C.,Mirapolis,status.closed.definitely,49.0540617,2.0025555
